Título,Link,Endereço,Especificações,Observações,Preço,Metrô mais próximo,Metrõ mais Rapido,Distancia,Duração
Comfort Nova Paulista,/propriedades/comfort-nova-paulista-2948144998.html,"Rua Vergueiro, 2740 - Vila Mariana, São Paulo - SP, 04102-001, Vila Mariana, São Paulo",33 m² área total 23 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Comfort nova paulista - Vila Mariana - São Paulo/sp - Fora do Pool. Tipo do Imóvel: Flat. Dormitório(s): 1. Suíte(s): 1. Vaga(s): 1. Área Útil: 31m² iptu: R$ 115, 00. Condomínio: R$ 1. 438, 00. Situado no centro de São Paulo, o Comfort Nova Paulista fica a 2 km da Avenida Paulista e a 3 km do Parque e do Ginásio do Ibirapuera. A propriedade dispõe de uma academia moderna e uma piscina ao ar livre. O Wi-Fi está disponível gratuitamente em todos os ambientes. Os quartos do Comfort Nova Paulista oferecem ar-condicionado, internet gratuita, tv a cabo e um frigobar abastecido, além de mesa de trabalho, cofre e banheiro privativo com produtos de banho. Você pode saborear diariamente o buffet de café da manhã servido no restaurante, que inclui uma variedade de frutas da estação, pães e frios, bem como uma seleção de especialidades quentes. Cardápios de almoço e jantar em estilo à la carte ou em buffet estão disponíveis. Além disso, uma grande variedade de pizzas caseiras está disponível todas as noites. Outras comodidades do Comfort Nova Paulista incluem recepção 24 horas e instalações empresariais para até 100 pessoas. Além disso, o estacionamento privativo está disponível no local, por um custo extra. O hotel conta com uma localização excelente, entre as estações de metrô Ana Rosa e Vila Mariana e a 200 metros do Bar Veloso, famoso pelos itens da confeitaria brasileira. Você também estará a uma curta caminhada de uma variedade de bares e restaurantes da Rua Joaquim Távora. Universidades renomadas, como a Unifesp e a espm, ficam nas proximidades do Comfort Nova Paulista. O Aeroporto de Congonhas e o São Paulo Expo ficam a 8 km, e o Aeroporto Internacional de Guarulhos fica a 25 km. A Vila Mariana é uma ótima escolha para viajantes interessados em parques, arte e museus. Fotos com mobília padrão do Hotel*",R$ 275.600,Ana Rosa,Ana Rosa,534,534
Apartamento Bela Vista Sao Paulo Sp,/propriedades/apartamento-bela-vista-sao-paulo-sp-2947205714.html,"Bela Vista, São Paulo",49 m² área total 49 m² área útil 1 Quarto 1 Banheiro,"Bela vista - Excelente Apartamento localizado na Rua Santo Amaro, proximo a Camara Municipal de Sao Paulo. Seus 48, 55 m² de area util, com Dormitorio, Sala, Cozinha estilo americana, Banheiro e Area de Servico; Nao possui Vaga de Garagem. Predio nao possui Acessibilidade, dispoe de 2 Elevadores, Servicos de Portaria e Eletronica 24 horas. - Proximidades: Ruas (Genebra, Japura, Francisca Miquelina, Abolicao e Jaceguai), Avenidas (Brigadeiro Luis Antonio, Nove de Julho e 23 de Maio), Camara Municipal de Sao Paulo, Federacao Espirita do Estado de Sao Paulo e Ordem dos Advogados do Brasil - Seccional Sao Paulo. Otima oportunidade para quem nao abre mao em morar no conforto e praticidade que a Regiao Central Oferece. Agende agora mesmo uma visita!.",R$ 350.000,Higienopolis Mackenzie,Trianon Masp,1522,1596
Apartamento - Jd. S. Paulo - Próx. Do Metrô - 2 Dts - 1 Vg.,/propriedades/apartamento-jd.-s.-paulo-prox.-do-metro-2-dts-2946256848.html,"Rua Almirante Noronha 998 terreo, Jardim São Paulo(Zona Norte), São Paulo",70 m² área total 58 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento no Jardim São Paulo, prédio e localização cobiçadíssimo. Vago, estou com as Chaves. Próximo do Metrô. Apartamento no andar térreo, prédio de fundos, sossego absoluto. Só ""barulho""- do canto dos passarinhos. Necessita modernizar. Ver para Crer. Sala, 2 Dormitórios, banheiro social, Ampla cozinha, Área de serviço, pequeno terraço. 1 Vaga de garagem coberta e demarcada. Documentação 100% ok. Contato e visitas com corretor makoto, creci Ver dados.",R$ 280.000,Jardim Sao Paulo Ayrton Senna,Jardim Sao Paulo Ayrton Senna,947,947
Apto Pertinho Do Metrô! 2 Dorms C/armários Planejados E Sala C/ Sacada,/propriedades/apto-pertinho-do-metro!-2-dorms-c-armarios-planejados-2947910935.html,"Trajano Reis, Jardim das Vertentes, São Paulo",57 m² área total 57 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Cod Ver dados. butantã, vila sonia, apartamento 02 dormitórios com armários planejados, 01 wc social, sala 02 ambientes com sacada, cozinha com armários planejados, área de serviço, 01 vaga de garagem, lazer completo. Ao lado da futura estação metrÔ vila sonia. Agende uma visita com A corretora elza (11) 9. 9196. 2663 creci 145. 396",R$ 330.000,Butanta,Sao Paulo Morumbi,3247,4326
Apartamentos De 02 Dorms Á 600 m Do Metro Vila Das Belezas Linha Lilas,/propriedades/apartamentos-de-02-dorms-a-600-m-do-metro-vila-das-2945947892.html,"Rua Carlos Leite dos Santos , Parque Arariba, São Paulo",41 m² área total 41 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Lançamento vila das belezas! Apartamentos, com 02 dorms, 41m2 ( Lazer de Club) dentro do programa minha casa minha vida, *600 metros da estação vila das belezas, *6 min do shopping campo limpo, *6 min do terminal joão dias. *7 min do carrefour joão dias. * 11 min do parque burle marx. *13 min shopping jardim sul. **serviços em gerais A poucos metros. supermercados, padarias, correios, cartórios, lotéricas, academias, pet shops, agências bancárias, feiras livres, pizzarias E muito mais. - centros de ensino E escolas. *particulares E públicas. diversas opções para você! ótimas opções para você! Lazer Completo: Salão de Jogos / Salão de Festas / Espaço Gourmet / Fitness / Brinquedoteca / Churrasqueira Ecológica / Churrasqueira normal/ Mini Quadra / Piscina Adulto e Infantil / Playground.",R$ 209.000,Vila Das Belezas,Vila Das Belezas,779,779
Columbia Residence - Flat no Jardim Paulista,/propriedades/columbia-residence-flat-no-jardim-paulista-1002310577.html,"Rua Ouro Branco, Jardim Paulista, São Paulo",38 m² área total 38 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Próximo á bares, restaurantes, lojas, cafeterias e bancos. Localiza-se perto da Av. 9 de Julho, Av. Paulista, Av. Brigadeiro Luis Antônio, do masp (Museu de Arte de São Paulo), dos shoppings Cidade São Paulo e Top Center, do ponto turístico Mirante 9 de Julho, do Centro Cultural fiesp, dos hospitais Oswaldo Cruz e Beneficência Portuguesa, do Colégio Dante Alighieri e da Universidade Anhembi Morumbi, além de ficar a 10 minutos da estação de metrô Trianon-Masp. O condomínio possui academia, piscina, área de lazer com jardim, sauna, mensageiro, manobrista, tv a cabo e camareira. Estamos à disposição para melhor atendê-lo, ligue sem compromisso e agende uma visita. Creci Ver dados-j",R$ 350.000,Trianon Masp,Trianon Masp,1477,1477
Flat em Moema A Venda,/propriedades/flat-em-moema-a-venda-2938265214.html,"AV IBIRAPUERA 2534, Moema, São Paulo",26 m² área total 26 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Meliá Ibirapuera está situado na Av. Ibirapuera, uma importante Avenida do Bairro de Moema. . O Hotel Conta com os seguintes serviços: . - Piscina Aquecida. - Restaurante. - Conexão gratuita à internet (Wi-Fi) em todo o Hotel. - Serviço de lavanderia e passadoria (*) - Estacionamento com manobrista (*) . Está a poucos minutos dos principais centros financeiro da cidade como a famosa Avenida Paulista e região da Av Luis Carlos Berrini, além da possibilidade de ir caminhando até o Shopping Ibirapuera. Isso sem contar na proximidade com o Parque do Ibirapuera o maior parque da América do Sul e do Aeroporto de Congonhas. Seja viagem de negócios ou lazer, o hotel dispõe de infraestrutura completa para uma experiência inesquecível. Conheça o Meliá Ibirapuera e se apaixone por São Paulo. . Flat/Condo Hotel com excelente rentabilidade no investimento no sistema pool, gerando os melhores rendimentos do mercado e valorização do seu imóvel. . Solicite os rendimentos e comprove a rentabilidade conosco. . A Só Flats é uma empresa especializada em compra e venda de Flats dentro e fora da cidade de São Paulo, para moradia ou investimento. . Não deixe de nos consultar. . Sujeito à confirmação de disponibilidade e valores, sem aviso prévio.",R$ 320.000,Moema,Moema,901,901
Apartamento - Mooca,/propriedades/apartamento-mooca-2947192130.html,"RUA TERESINA, Mooca, São Paulo",51 m² área total 51 m² área útil 2 Quartos 2 Banheiros 1 Vaga,"Apartamento localizado próximo a Rua da Mooca. Possui suíte com sacada, sala para 2 ambientes, cozinha tipo americana com armários. Lazer com piscina, playground, salão de festas e salão de jogos. Ávila e Manno Imóveis, com você da visita até a entrega das chaves! - 03/02/2020",R$ 380.000,Belem,Vila Prudente,3122,3874
Oportunidade para Investir! Flat para Venda no Jardins,/propriedades/oportunidade-para-investir!-flat-para-venda-no-jardins-2934984759.html,"AL Campinas 1213, Jardins, São Paulo",32 m² área total 32 m² área útil 1 Quarto 1 Banheiro 1 Vaga,"Cod. Ver dados. . O Hotel Hampton Park fica localizado no bairro jardins, perto da Avenida 9 de Julho e da Rua Oscar Freire, onde encontrará muitas lojas, restaurantes e museus. O Hampton também conta com um restaurante e um bar, assim como salas e comodidades para reuniões de negócios e outros eventos. Rarus, especialista em Flats. Faça seu contato! Preço e disponibilidade da unidade sujeito a alteração sem aviso prévio.",R$ 320.000,Trianon Masp,Trianon Masp,1538,1538
"Apartamento Com 2 Dormitórios à Venda, 46 m² Por R$110.000 - Conjunto Habitacional Santa Etelvina I",/propriedades/apartamento-com-2-dormitorios-a-venda-46-m-sup2--por-2945663863.html,"Conjunto Habitacional Santa Etelvina III, São Paulo",46 m² área total 46 m² área útil 2 Quartos 1 Banheiro,"Apartamento na Cidade Tiradentes, Apartamento com 46 m², 2 dormitórios, sala, cozinha, banheiro e área de serviço. Condominio tranquilo, com monitoramento de câmeras, portao automático e interfone. Próximo a mercado, padaria, farmácia, feiras, posto de saúde, hospital, escolas, creches e as principais vias da região. Aceita Financiamento e uso do fgts como entrada. Agende já sua visita. Maiores informações 11- Ver dados ou 11- Ver dados whatsapp - 11/02/2020",R$ 110.000,Corinthians Itaquera,Corinthians Itaquera,11676,11676
Apartamento 2 Dormitórios – Último Andar - 1 Vaga - Sacomã,/propriedades/apartamento-2-dormitorios-ultimo-andar-1-vaga-2934118369.html,"Rua Alencar Araripe, 1145 AP171 BL2, Sacomã, São Paulo",50 m² área total 50 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Armários planejados nos quartos, cozinha, banheiro e área de serviço. ampla sala de estar e de jantar. 2 dormitórios com armários planejados. Piso laminado na sala, corredores e nos quartos. Piso frio e azulejo na cozinha, área de serviço e banheiro box. Prédio (8 anos) 17 andares água individual. Último andar (ninguém te incomoda!). Visão privilegiada! Lazer completo: piscina adulto e infantil, quadra poliesportiva, playground, fitness completo (aparelhos novos e sistema de som) sauna, salão de festas equipado, churrasqueira coberta com forno de pizza e freezer horizontal, praça central de convivência, espaço leitura bike space, coleta seletiva, jardim 4 estações, wi-fi em toda área comum! Guarita 24 horas e ronda durante a madrugada. Estacionamento 1 vaga individual.",R$ 285.000,Sacoma,Sacoma,1982,1982
Carmosina Pq Do Carmo Jose Bonifacio E Mais,/propriedades/carmosina-pq-do-carmo-jose-bonifacio-e-mais-2948090227.html,"RUA VITORIO SANTIN, Itaquera, São Paulo",36 m² área total 36 m² área útil 2 Quartos 0 Banheiros,"Pq do carmo, carmosina minha casa minha vida com 1 ou 2 dormitórios. tire suas duvidas com cervantes no Ver dados. seguem algumas informações. apartamento com um ou dois dormitórios - Documentação Grátis! Grande oportunidade minha casa minha vida pq do carmo, camosina E muito mais. saia do aluguel agora, 1 ou 2 Dorms, 0 e 1 vaga, Churrasqueira, Salão de Festa, Brinquedoteca, Bicicletário, Espaço Fitness e muito mais lazer! Apartamento 1 ou 2 dormitórios em itaquera, carmosina, pq do carmo, jacu pêssego, penha. entrada facilitada em ate 20 vezes. compre com parcela A partir de R$ 599, 00. use seu fgts! Subsidio do governo de ate R$ 29 mil. Financiamento minha casa minha vida. localização privilégiada proximo ao transporte publico E terminal de Ônibus. Fácil acesso A bancos, comércios, restaurantes E muito mais. Faça seu cadastro E realize O sonho do apto próprio, corra poucas unidades! *rg, *cpf, *comprovante de renda( holerite ou extrato bancário), *certidao de nascimento ou casamento, *comprovante de endereço, *carteira de trabalho, *fgts, *imposto de renda!",R$ 159.900,Corinthians Itaquera,Corinthians Itaquera,2945,2945
"Apartamento para Venda Com 65 M,1 Suite E 1 Vaga De",/propriedades/apartamento-para-venda-com-65-m-1-suite-e-1-vaga-de-2930304823.html,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, Vila do Encontro, São Paulo",65 m² área total 65 m² área útil 3 Quartos 2 Banheiros 1 Vaga,"Apartamento para venda No bairro vila do encontro, com 1 suite e 65m",R$ 360.000,Jabaquara,Jabaquara,1149,1149
Apartamento Com 2 Dormitórios E 1 Vaga na Vila Aricanduva,/propriedades/apartamento-com-2-dormitorios-e-1-vaga-na-vila-2942316436.html,"Vila Aricanduva, São Paulo",133 m² área total 48 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento semi-novo na Vila Aricanduva com 2 dormitórios e 1 vaga!! Localizado no 3º andar com elevador, 2 dormitórios um com ar condicionado, sala, cozinha, banheiro, área de serviço e sacada; gás e água individualizado e gás ""embutido no valor do condomínio"". O condomínio dispõe de: 2 churrasqueiras, 2 salões de festas, playground, chute a gol, brinquedoteca, salão de jogos, espaço de estudos, academia toda equipada com aparelhos novos e praça interna na área de lazer. Próximo ao atacadista Cofema, Escolas Estaduais e Particulares, Pizzarias, Restaurantes, Frutaria, Açai Aricanduva, Postos de Combustível, Shopping Aricanduva. Fácil acesso as avenidas: Aricanduva, Dezenove de Janeiro, Conselheiro Carrão, radial Leste e Acesso a Marginal Tiête. Transporte Público para Metrô: Carrão, Tatuapé e Parque Dom Pedro, etc. Obs: Todas as informações dos imóveis anunciados, são fornecidas pelos Construtores ou Proprietários, podendo sofrer alterações a qualquer momento! Agende já uma visita com um de nosso corretores! Ver dados - 12/02/2020",R$ 263.000,Vila Matilde,Vila Matilde,1153,1153
"Apartamento Com 2 Dormitórios à Venda, 55 m² Por R$300 - Jardim Ester Yolanda - São Paulo/sp",/propriedades/apartamento-com-2-dormitorios-a-venda-55-m-sup2--por-2948256901.html,"Jardim Ester Yolanda, São Paulo",55 m² área total 55 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Imobiliária Madri vende. Apartamento semi-mobiliado que conta com aproximadamente 55m² de área privativa. Esta metragem é distribuída em um amplo living, que suporta 2 ambientes com facilidade, uma cozinha seguida de uma área de serviço bastante funcional. O apartamento possui 2 dormitórios muito bem iluminados. O imóvel ficará com vários móveis, como os armários embutidos nos 2 dormitórios, na cozinha, na área de serviço e no banheiro, além dos espelhos da sala, da divisória de vidro na cozinha e as luminárias embutidas no gesso. O imóvel possui muitas janelas, o que faz com que o apartamento seja muito ensolarado, principalmente no final da tarde por conta da posição solar ser oeste. Além disso, as janelas proporcionam muita circulação de ar, tornando o apartamento muito arejado e agradável. O imóvel ainda conta com 1 vaga rotativa na garagem. O condomínio ""Jardim D'Espanha"" possui vasta infraestrutura destinada ao lazer e a segurança do imóvel. Há diversas áreas no condomínio, como piscina adulta, churrasqueira, salão de festas e até espaço pet! Também há áreas destinadas ao lazer das crianças, como a brinquedoteca, o playground e a piscina infantil. Para a prática de exercícios, o condomínio conta com uma academia bem equipada, um bicicletário e uma quadra esportiva. Para garantir a segurança e a tranquilidade dos moradores, o condomínio conta com cerca elétrica, câmeras de vigilância, interfone e portaria com acesso eletrônico. Além disso, o condomínio conta com uma localização privilegiada, fica em um bairro tranquilo e muito bem abastecido com mercado, mercearias, banco, farmácias, padarias e até mesmo pet shops, Toda essa infraestrutura urbana é acessível no raio de um quadra. Venha conhecer. Ligue e agende sua visita!! - 12/02/2020",R$ 300,Butanta,Butanta,6981,6981
"Apartamento Vago, Mobiliado, 02 Dorms - Cachoeirinha, São Paulo.",/propriedades/apartamento-vago-mobiliado-02-dorms-cachoeirinha-2940122582.html,"Rua Professor José Soares de Mello 179, Cachoeirinha, São Paulo",46 m² área total 46 m² área útil 2 Quartos 1 Banheiro 1 Vaga,"Apartamento vago, 02 dorms com armários, sala p/ 02 ambientes mais sacada, cozinha com armários planejados, banheiro (c/ box blindex e gabinete), área de serviço e 01 vaga de garagem (coberta). Móveis planejados nos dois dormitórios, cozinha, banheiro e área de serviço. Cook Top, Coifa, Forno elétrico e maquina de lavar estão incluídos na venda! Condomínio com 03 torres, academia, piscina adulta e infantil, salão de festas, salão de jogos, playground, espaço gourmet. Imóvel próximo a Av. Imirim, Av. Parada Pinto e Av General Penha Brasil, próximo ao Metrô Santana, escolas, mercados, bancos e facilidade de condução para diversos bairros. Documentação em ordem, aceitando como pagamento fgts e financiamento bancário - 12/02/2020",R$ 275.000,Santana,Santana,7011,7011
